,beta,HR (95% CI for HR),wald.test,p.value
CCNA2,0.45,1.6 (1.3-1.9),22,2.40E-06
ATP1A3,-0.4,0.67 (0.57-0.79),22,2.40E-06
ZNF238,-1,0.36 (0.24-0.55),22,2.50E-06
DZIP1L,0.62,1.9 (1.4-2.4),22,2.50E-06
CCDC65,0.32,1.4 (1.2-1.6),22,2.50E-06
SOX6,-0.59,0.55 (0.43-0.71),22,2.60E-06
RPS13,-0.99,0.37 (0.24-0.56),22,2.60E-06
PLK5P,-0.39,0.68 (0.57-0.8),22,2.60E-06
KATNAL2,0.62,1.9 (1.4-2.4),22,2.60E-06
CLNS1A,-1.4,0.26 (0.15-0.45),22,2.60E-06
TXLNB,0.34,1.4 (1.2-1.6),22,2.70E-06
CLASP2,-0.83,0.44 (0.31-0.62),22,2.70E-06
ZNF600,0.72,2 (1.5-2.8),22,2.80E-06
PGAM4,-0.94,0.39 (0.26-0.58),22,2.80E-06
PC,-1,0.37 (0.24-0.56),22,2.80E-06
DNAJC22,0.36,1.4 (1.2-1.7),22,2.80E-06
COL5A1,0.26,1.3 (1.2-1.4),22,2.80E-06
GALNT2,0.92,2.5 (1.7-3.7),22,2.90E-06
RPS27A,-1.3,0.27 (0.15-0.46),22,3.00E-06
RASSF4,-0.65,0.52 (0.4-0.69),22,3.00E-06
NTRK2,-0.49,0.61 (0.5-0.75),22,3.00E-06
PODXL,0.92,2.5 (1.7-3.7),22,3.10E-06
TMSB10,0.69,2 (1.5-2.7),22,3.20E-06
PAPPA2,0.33,1.4 (1.2-1.6),22,3.20E-06
CCNB2,0.33,1.4 (1.2-1.6),22,3.20E-06
SOD2,0.39,1.5 (1.3-1.7),22,3.30E-06
LHFPL3,-0.26,0.77 (0.69-0.86),22,3.30E-06
GRHPR,-1.7,0.17 (0.083-0.36),22,3.30E-06
APC2,-0.87,0.42 (0.29-0.6),22,3.30E-06
LAMB2L,-0.89,0.41 (0.28-0.6),22,3.40E-06
ITGB8,0.74,2.1 (1.5-2.9),22,3.40E-06
ITGB3BP,0.87,2.4 (1.7-3.5),22,3.40E-06
LOC100133545,-0.54,0.58 (0.47-0.73),22,3.50E-06
CRMP1,-0.86,0.42 (0.3-0.61),22,3.50E-06
RAD54L,0.4,1.5 (1.3-1.8),21,3.60E-06
GPR98,-0.37,0.69 (0.59-0.81),21,3.60E-06
TMOD2,-0.85,0.43 (0.3-0.61),21,3.80E-06
NOLC1,-1.9,0.16 (0.071-0.34),21,3.80E-06
TMED9,1.4,4.2 (2.3-7.7),21,3.90E-06
NEK2,0.37,1.4 (1.2-1.7),21,3.90E-06
GRIA4,-0.33,0.72 (0.63-0.83),21,3.90E-06
MARVELD2,0.69,2 (1.5-2.7),21,4.00E-06
HSF2BP,-0.53,0.59 (0.47-0.74),21,4.00E-06
TSHR,-0.23,0.8 (0.72-0.88),21,4.10E-06
LPHN1,-1.1,0.34 (0.21-0.54),21,4.10E-06
LINGO1,-0.41,0.66 (0.56-0.79),21,4.10E-06
AQP1,0.32,1.4 (1.2-1.6),21,4.10E-06
PTGIR,0.6,1.8 (1.4-2.4),21,4.30E-06
EIF3H,-1.3,0.27 (0.16-0.48),21,4.30E-06
RAD51,0.41,1.5 (1.3-1.8),21,4.60E-06
MLEC,1.3,3.9 (2.2-6.9),21,4.60E-06
RPS6,-0.88,0.42 (0.29-0.61),21,4.70E-06
ISG20,0.42,1.5 (1.3-1.8),21,4.70E-06
PDGFD,0.32,1.4 (1.2-1.6),21,4.80E-06
WASF3,-0.62,0.54 (0.41-0.7),21,4.90E-06
ORC1L,0.37,1.4 (1.2-1.7),21,4.90E-06
HADHA,-1.4,0.25 (0.14-0.46),21,4.90E-06
PDZD4,-0.55,0.57 (0.45-0.73),21,5.00E-06
S100A4,0.33,1.4 (1.2-1.6),21,5.30E-06
DYRK3,0.58,1.8 (1.4-2.3),21,5.30E-06
SH3GLB1,1.3,3.5 (2.1-6.1),21,5.40E-06
RUNDC3A,-0.42,0.66 (0.55-0.79),21,5.40E-06
OSBPL10,0.48,1.6 (1.3-2),21,5.40E-06
EIF4B,-1.2,0.31 (0.18-0.51),21,5.40E-06
UQCRC2,-1.7,0.18 (0.089-0.38),21,5.50E-06
BCL3,0.51,1.7 (1.3-2.1),21,5.50E-06
PTBP1,1.2,3.4 (2-5.7),21,5.60E-06
ULK4,0.5,1.7 (1.3-2.1),21,5.70E-06
GMFB,-1.2,0.29 (0.17-0.5),21,5.90E-06
LOC100128292,-0.8,0.45 (0.32-0.64),20,6.00E-06
OLIG2,-0.35,0.7 (0.6-0.82),20,6.20E-06
TJP2,-0.56,0.57 (0.45-0.73),20,6.30E-06
TGOLN2,1.6,5 (2.5-10),20,6.30E-06
IL2RG,0.44,1.5 (1.3-1.9),20,6.30E-06
GPR3,0.39,1.5 (1.2-1.7),20,6.30E-06
ZNF829,0.84,2.3 (1.6-3.3),20,6.40E-06
OIP5,0.42,1.5 (1.3-1.8),20,6.40E-06
IGFBP5,0.48,1.6 (1.3-2),20,6.40E-06
DACH2,-0.24,0.78 (0.71-0.87),20,6.40E-06
PFKP,-0.7,0.5 (0.37-0.67),20,6.50E-06
TMEM26,0.35,1.4 (1.2-1.7),20,6.60E-06
ST20,0.69,2 (1.5-2.7),20,6.60E-06
NUF2,0.41,1.5 (1.3-1.8),20,6.70E-06
LDLRAD2,0.33,1.4 (1.2-1.6),20,6.70E-06
ANGPTL2,-0.37,0.69 (0.58-0.81),20,6.70E-06
LOX,0.33,1.4 (1.2-1.6),20,6.80E-06
EID3,0.41,1.5 (1.3-1.8),20,6.80E-06
DCAF11,-1.6,0.2 (0.1-0.41),20,6.80E-06
FBLIM1,0.53,1.7 (1.3-2.1),20,6.90E-06
RAD51AP1,0.44,1.6 (1.3-1.9),20,7.10E-06
ARHGEF19,0.61,1.8 (1.4-2.4),20,7.10E-06
TPTE2P1,-0.38,0.68 (0.58-0.81),20,7.30E-06
ZNF788,0.76,2.1 (1.5-3),20,7.40E-06
MATR3,-2,0.13 (0.054-0.32),20,7.40E-06
SNAI2,0.46,1.6 (1.3-1.9),20,7.60E-06
SFT2D2,0.77,2.2 (1.5-3),20,7.90E-06
FKBP1A,1.3,3.7 (2.1-6.6),20,7.90E-06
RUNX3,0.45,1.6 (1.3-1.9),20,8.00E-06
MCFD2,1.4,4 (2.2-7.4),20,8.00E-06
SLC25A45,0.6,1.8 (1.4-2.4),20,8.10E-06
RERGL,-0.49,0.61 (0.49-0.76),20,8.10E-06
DEPDC1B,0.43,1.5 (1.3-1.9),20,8.10E-06
HNRNPH3,-1.5,0.22 (0.11-0.43),20,8.20E-06
TOM1L2,-1.3,0.28 (0.16-0.49),20,8.30E-06
TSPAN7,-0.65,0.52 (0.39-0.69),20,8.40E-06
SUMF2,0.68,2 (1.5-2.7),20,8.40E-06
PTN,0.61,1.8 (1.4-2.4),20,8.40E-06
HNRNPA1,-1.1,0.34 (0.21-0.54),20,8.50E-06
TRIM6,0.47,1.6 (1.3-2),20,8.70E-06
LEPREL1,0.45,1.6 (1.3-1.9),20,8.70E-06
ATP6AP1L,-1.1,0.32 (0.19-0.53),20,8.70E-06
MAGEL2,-0.48,0.62 (0.5-0.77),20,9.00E-06
FLOT2,1.5,4.6 (2.3-8.9),20,9.00E-06
PFKM,-0.9,0.41 (0.27-0.61),20,9.20E-06
CYP2S1,0.56,1.7 (1.4-2.2),20,9.20E-06
KIF1A,-0.57,0.57 (0.44-0.73),20,9.50E-06
GINS2,0.45,1.6 (1.3-1.9),20,9.50E-06
ESCO2,0.37,1.4 (1.2-1.7),20,9.50E-06
RABGAP1,-1.5,0.23 (0.12-0.44),20,9.60E-06
AGPAT1,-2.3,0.099 (0.036-0.28),20,9.70E-06
GRIN3A,-0.28,0.76 (0.67-0.86),20,9.80E-06
ZNF525,0.94,2.6 (1.7-3.9),20,1.00E-05
ZNF230,1.2,3.2 (1.9-5.5),19,1.00E-05
SOD3,0.34,1.4 (1.2-1.6),19,1.00E-05
CCT6B,-0.79,0.45 (0.32-0.64),19,1.00E-05
TMSL3,0.75,2.1 (1.5-2.9),19,1.10E-05
TEX261,1.6,4.9 (2.4-9.8),19,1.10E-05
STAT1,0.56,1.7 (1.4-2.2),19,1.10E-05
RAB32,0.56,1.8 (1.4-2.3),19,1.10E-05
MYCBPAP,0.37,1.5 (1.2-1.7),19,1.10E-05
LGALS3BP,0.73,2.1 (1.5-2.9),19,1.10E-05
C16orf75,0.45,1.6 (1.3-1.9),19,1.10E-05
ATP8B1,0.56,1.7 (1.4-2.2),19,1.10E-05
SRGAP3,-0.87,0.42 (0.28-0.62),19,1.20E-05
PTPN7,0.33,1.4 (1.2-1.6),19,1.20E-05
NCAPH,0.4,1.5 (1.2-1.8),19,1.20E-05
FOSL1,0.3,1.3 (1.2-1.5),19,1.20E-05
CABIN1,-1.4,0.26 (0.14-0.47),19,1.20E-05
UBQLN4,-1.4,0.25 (0.13-0.46),19,1.30E-05
SMARCC2,-1.5,0.22 (0.11-0.43),19,1.30E-05
SLC47A1,0.3,1.4 (1.2-1.6),19,1.30E-05
SF3A1,-1.4,0.25 (0.14-0.47),19,1.30E-05
RPS23,-1,0.36 (0.23-0.57),19,1.30E-05
PMS2L2,0.82,2.3 (1.6-3.3),19,1.30E-05
MICAL3,-1,0.36 (0.23-0.57),19,1.30E-05
GPC1,0.88,2.4 (1.6-3.6),19,1.30E-05
ESPL1,0.34,1.4 (1.2-1.6),19,1.30E-05
CD247,0.5,1.7 (1.3-2.1),19,1.30E-05
ARHGAP28,-0.39,0.67 (0.56-0.8),19,1.30E-05
ANKRD45,0.38,1.5 (1.2-1.7),19,1.30E-05
PTK6,-0.56,0.57 (0.44-0.74),19,1.40E-05
PDCD1LG2,0.4,1.5 (1.2-1.8),19,1.40E-05
MGEA5,-1.2,0.29 (0.17-0.51),19,1.40E-05
IQCH,0.51,1.7 (1.3-2.1),19,1.40E-05
C11orf2,-1.1,0.33 (0.2-0.55),19,1.40E-05
TMEM217,0.63,1.9 (1.4-2.5),19,1.50E-05
PDLIM5,-0.63,0.53 (0.4-0.71),19,1.50E-05
LOC100302640,-0.58,0.56 (0.43-0.73),19,1.50E-05
HAUS8,0.68,2 (1.4-2.7),19,1.50E-05
FRMPD1,-0.4,0.67 (0.56-0.8),19,1.50E-05
FLNA,0.56,1.8 (1.4-2.3),19,1.50E-05
CCDC160,-0.6,0.55 (0.42-0.72),19,1.50E-05
SPN,0.46,1.6 (1.3-2),19,1.60E-05
PTPN14,0.54,1.7 (1.3-2.2),19,1.60E-05
KIAA1614,0.54,1.7 (1.3-2.2),19,1.60E-05
KIAA0652,-1.2,0.3 (0.18-0.52),19,1.60E-05
GRN,0.86,2.4 (1.6-3.5),19,1.60E-05
FBLN7,0.3,1.3 (1.2-1.5),19,1.60E-05
DKFZp779M0652,-0.41,0.66 (0.55-0.8),19,1.60E-05
DAAM2,-0.34,0.71 (0.61-0.83),19,1.60E-05
HLA.DRA,0.32,1.4 (1.2-1.6),19,1.70E-05
FAIM2,-0.56,0.57 (0.45-0.74),19,1.70E-05
GCNT1,0.41,1.5 (1.3-1.8),18,1.80E-05
DCDC2,0.34,1.4 (1.2-1.6),18,1.80E-05
SPARCL1,-0.42,0.66 (0.54-0.8),18,1.90E-05
RAB5B,-1.6,0.2 (0.096-0.42),18,1.90E-05
PSD,-0.33,0.72 (0.62-0.84),18,1.90E-05
PCBP4,-0.72,0.49 (0.35-0.68),18,1.90E-05
MR1,0.61,1.8 (1.4-2.4),18,1.90E-05
ERGIC1,1.6,5 (2.4-11),18,1.90E-05
COL6A1,0.54,1.7 (1.3-2.2),18,1.90E-05
C13orf34,0.9,2.5 (1.6-3.7),18,1.90E-05
BCL2L12,0.55,1.7 (1.3-2.2),18,1.90E-05
AKT2,1.1,3 (1.8-4.9),18,1.90E-05
MTCH1,-1.6,0.21 (0.1-0.43),18,2.00E-05
CDC25A,0.55,1.7 (1.3-2.2),18,2.00E-05
ABCA17P,-0.57,0.57 (0.44-0.74),18,2.00E-05
ZNF283,1.3,3.6 (2-6.6),18,2.10E-05
MMP11,0.36,1.4 (1.2-1.7),18,2.10E-05
FDFT1,-0.94,0.39 (0.25-0.6),18,2.10E-05
DDOST,1.2,3.2 (1.9-5.5),18,2.10E-05
NDUFV1,-1.6,0.2 (0.095-0.42),18,2.20E-05
GTSE1,0.36,1.4 (1.2-1.7),18,2.20E-05
EHMT2,-1.3,0.27 (0.15-0.5),18,2.20E-05
EEF1B2,-1.1,0.34 (0.2-0.56),18,2.20E-05
MLF1IP,0.37,1.5 (1.2-1.7),18,2.30E-05
EIF4EBP2,-1.3,0.26 (0.14-0.49),18,2.30E-05
GCH1,0.5,1.6 (1.3-2.1),18,2.40E-05
EPSTI1,0.36,1.4 (1.2-1.7),18,2.40E-05
MRC1,-0.29,0.75 (0.66-0.86),18,2.50E-05
LPHN3,-0.62,0.54 (0.4-0.72),18,2.50E-05
HIST1H2AE,0.48,1.6 (1.3-2),18,2.50E-05
GSG2,0.41,1.5 (1.2-1.8),18,2.50E-05
FAM72B,0.6,1.8 (1.4-2.4),18,2.50E-05
ZBTB42,0.51,1.7 (1.3-2.1),18,2.60E-05
LOC644538,0.42,1.5 (1.3-1.9),18,2.60E-05
C1orf112,0.89,2.4 (1.6-3.7),18,2.60E-05
HLA.DPA1,0.31,1.4 (1.2-1.6),18,2.70E-05
FLJ35776,0.59,1.8 (1.4-2.4),18,2.70E-05
PLEKHA9,0.87,2.4 (1.6-3.6),18,2.80E-05
LXN,0.45,1.6 (1.3-1.9),18,2.80E-05
WDR78,0.34,1.4 (1.2-1.6),17,2.90E-05
TIFA,0.56,1.7 (1.3-2.3),17,2.90E-05
RPL7A,-0.95,0.39 (0.25-0.61),17,2.90E-05
ECT2L,-0.82,0.44 (0.3-0.65),17,2.90E-05
CCDC138,0.72,2 (1.5-2.9),17,2.90E-05
SLIT1,-0.31,0.74 (0.64-0.85),17,3.00E-05
PDIA5,0.44,1.5 (1.3-1.9),17,3.00E-05
LOC442421,-0.69,0.5 (0.36-0.69),17,3.00E-05
DTL,0.36,1.4 (1.2-1.7),17,3.00E-05
CELSR1,0.24,1.3 (1.1-1.4),17,3.00E-05
PYGB,-1,0.37 (0.23-0.59),17,3.10E-05
NAALADL1,0.66,1.9 (1.4-2.6),17,3.10E-05
GDF5,0.33,1.4 (1.2-1.6),17,3.10E-05
NFIB,-0.85,0.43 (0.28-0.64),17,3.20E-05
CDK4,0.48,1.6 (1.3-2),17,3.20E-05
BZW1,2,7.3 (2.9-19),17,3.20E-05
AARS,-1.8,0.17 (0.071-0.39),17,3.20E-05
TOMM20,-1.3,0.27 (0.14-0.5),17,3.30E-05
OPLAH,0.33,1.4 (1.2-1.6),17,3.30E-05
GCOM1,0.25,1.3 (1.1-1.5),17,3.30E-05
BEX1,-0.37,0.69 (0.58-0.82),17,3.30E-05
UPP2,-0.44,0.64 (0.52-0.79),17,3.40E-05
SSPO,-0.38,0.68 (0.57-0.82),17,3.40E-05
SLC19A3,0.72,2.1 (1.5-2.9),17,3.40E-05
RRAGA,-1.1,0.32 (0.19-0.55),17,3.40E-05
YWHAE,-2.4,0.088 (0.028-0.28),17,3.50E-05
TTYH2,-0.71,0.49 (0.35-0.69),17,3.50E-05
SLAMF8,0.32,1.4 (1.2-1.6),17,3.50E-05
AGXT2L1,-0.19,0.83 (0.76-0.91),17,3.50E-05
PRKCDBP,0.41,1.5 (1.2-1.8),17,3.60E-05
GATS,-0.89,0.41 (0.27-0.63),17,3.60E-05
EVL,-1.1,0.34 (0.21-0.57),17,3.60E-05
CTNNA3,-0.37,0.69 (0.58-0.82),17,3.60E-05
CASP6,0.69,2 (1.4-2.8),17,3.60E-05
RPL22,-0.86,0.42 (0.28-0.64),17,3.70E-05
MYH15,-0.31,0.74 (0.64-0.85),17,3.70E-05
HNRPDL,-2.1,0.12 (0.045-0.33),17,3.70E-05
ATCAY,-0.25,0.78 (0.7-0.88),17,3.70E-05
UBE2T,0.47,1.6 (1.3-2),17,3.80E-05
TSPYL4,-0.95,0.39 (0.25-0.61),17,3.80E-05
SARDH,0.36,1.4 (1.2-1.7),17,3.80E-05
ITGB1,0.82,2.3 (1.5-3.3),17,3.80E-05
CLDN4,0.55,1.7 (1.3-2.2),17,3.80E-05
C19orf55,0.67,1.9 (1.4-2.7),17,3.80E-05
C19orf40,0.66,1.9 (1.4-2.6),17,3.80E-05
FZD2,0.36,1.4 (1.2-1.7),17,3.90E-05
ATP2A3,0.47,1.6 (1.3-2),17,3.90E-05
MUM1,-1.5,0.23 (0.12-0.47),17,4.00E-05
C8orf44,-1.2,0.31 (0.18-0.55),17,4.00E-05
SLC2A9,0.51,1.7 (1.3-2.1),17,4.10E-05
SKA3,0.36,1.4 (1.2-1.7),17,4.10E-05
CD300LF,0.38,1.5 (1.2-1.7),17,4.10E-05
CA13,0.55,1.7 (1.3-2.2),17,4.10E-05
LY6K,-0.49,0.61 (0.48-0.77),17,4.20E-05
ATP5G2,-1.5,0.22 (0.11-0.45),17,4.20E-05
PVT1,0.39,1.5 (1.2-1.8),17,4.30E-05
PCDHB12,0.73,2.1 (1.5-2.9),17,4.30E-05
ZNF443,1.3,3.6 (2-6.7),17,4.40E-05
RPS3A,-0.9,0.41 (0.26-0.63),17,4.40E-05
HNRNPA1L2,-1.1,0.33 (0.2-0.56),17,4.40E-05
ZNF749,0.98,2.7 (1.7-4.3),17,4.50E-05
OLFML1,0.47,1.6 (1.3-2),17,4.50E-05
DLG5,-0.76,0.47 (0.33-0.68),17,4.50E-05
BCAN,-0.39,0.67 (0.56-0.81),17,4.50E-05
LOC644165,-0.41,0.66 (0.55-0.81),17,4.60E-05
A2LD1,0.51,1.7 (1.3-2.1),17,4.60E-05
RFTN2,-0.69,0.5 (0.36-0.7),17,4.70E-05
KIAA0101,0.31,1.4 (1.2-1.6),17,4.70E-05
FAM86B1,0.44,1.6 (1.3-1.9),17,4.70E-05
CCDC152,0.43,1.5 (1.2-1.9),17,4.70E-05
C16orf93,0.52,1.7 (1.3-2.2),17,4.70E-05
C9orf25,-0.99,0.37 (0.23-0.6),17,4.80E-05
LAMB2,0.72,2 (1.4-2.9),16,4.90E-05
SLC38A1,-0.35,0.7 (0.59-0.83),16,5.00E-05
SLC15A2,-0.45,0.64 (0.51-0.79),16,5.00E-05
SLC47A2,0.21,1.2 (1.1-1.4),16,5.20E-05
ANGPT1,0.32,1.4 (1.2-1.6),16,5.20E-05
RPS14,-1.1,0.34 (0.2-0.57),16,5.30E-05
NDUFB9,-1.3,0.28 (0.15-0.52),16,5.30E-05
FADS2,-0.65,0.52 (0.38-0.72),16,5.30E-05
C7orf29,0.43,1.5 (1.2-1.9),16,5.30E-05
APBB1,-0.83,0.44 (0.29-0.65),16,5.30E-05
C10orf140,0.36,1.4 (1.2-1.7),16,5.40E-05
C21orf7,0.32,1.4 (1.2-1.6),16,5.50E-05
AMIGO2,0.32,1.4 (1.2-1.6),16,5.50E-05
NEXN,0.48,1.6 (1.3-2),16,5.60E-05
HES6,-0.37,0.69 (0.58-0.83),16,5.60E-05
SPTBN2,-0.46,0.63 (0.51-0.79),16,5.80E-05
PODXL2,-0.65,0.52 (0.38-0.72),16,5.80E-05
PAPPA,-0.35,0.7 (0.59-0.83),16,5.80E-05
C1orf74,0.68,2 (1.4-2.8),16,5.80E-05
ZDHHC23,0.28,1.3 (1.2-1.5),16,5.90E-05
NEK8,0.62,1.9 (1.4-2.5),16,6.00E-05
DUSP9,-0.32,0.73 (0.62-0.85),16,6.00E-05
ATP8A1,-0.44,0.64 (0.52-0.8),16,6.00E-05
AIM1,0.28,1.3 (1.2-1.5),16,6.00E-05
TACR1,-0.26,0.77 (0.68-0.88),16,6.10E-05
PRDXDD1P,0.56,1.8 (1.3-2.3),16,6.10E-05
ORC6L,0.52,1.7 (1.3-2.2),16,6.10E-05
ANKRD5,0.36,1.4 (1.2-1.7),16,6.10E-05
FBXW11,-1.4,0.26 (0.13-0.5),16,6.30E-05
CAMK2G,-0.68,0.51 (0.36-0.71),16,6.30E-05
ATP9A,-0.71,0.49 (0.35-0.7),16,6.30E-05
ZSCAN5A,0.79,2.2 (1.5-3.3),16,6.40E-05
HSFX2,-0.85,0.43 (0.28-0.65),16,6.40E-05
C17orf53,0.61,1.8 (1.4-2.5),16,6.60E-05
BST1,0.45,1.6 (1.3-2),16,6.70E-05
ULBP2,0.44,1.6 (1.3-1.9),16,6.80E-05
PLXNB2,0.97,2.7 (1.6-4.3),16,7.00E-05
NAV1,-0.68,0.5 (0.36-0.71),16,7.20E-05
ZMIZ1,-0.86,0.42 (0.27-0.65),16,7.30E-05
TSC22D1,-0.7,0.5 (0.35-0.7),16,7.30E-05
FSIP1,0.47,1.6 (1.3-2),16,7.30E-05
TES,0.55,1.7 (1.3-2.3),16,7.40E-05
EMR2,0.32,1.4 (1.2-1.6),16,7.40E-05
CMAH,0.49,1.6 (1.3-2.1),16,7.40E-05
LAP3,0.7,2 (1.4-2.8),16,7.50E-05
CHRM4,-0.33,0.72 (0.61-0.85),16,7.50E-05
CCR5,0.31,1.4 (1.2-1.6),16,7.50E-05
MRFAP1,-1.7,0.19 (0.082-0.43),16,7.60E-05
EMID2,-0.3,0.74 (0.64-0.86),16,7.60E-05
CYP3A5,0.46,1.6 (1.3-2),16,7.60E-05
LOC84989,-0.43,0.65 (0.53-0.81),16,7.70E-05
DDX42,-2.3,0.1 (0.032-0.31),16,7.70E-05
ANGPTL6,0.41,1.5 (1.2-1.8),16,7.70E-05
TTC25,0.5,1.6 (1.3-2.1),16,7.80E-05
EEF2,-0.96,0.38 (0.24-0.62),16,7.90E-05
C6orf48,-0.82,0.44 (0.29-0.66),16,7.90E-05
NRXN2,-0.64,0.53 (0.38-0.72),16,8.00E-05
FGGY,0.79,2.2 (1.5-3.3),16,8.00E-05
ALG10,0.57,1.8 (1.3-2.3),16,8.00E-05
DCAF8,-2.2,0.11 (0.036-0.33),16,8.10E-05
SCN11A,-0.56,0.57 (0.43-0.76),16,8.20E-05
MPZ,0.52,1.7 (1.3-2.2),15,8.30E-05
PRAM1,0.35,1.4 (1.2-1.7),15,8.40E-05
TYMP,0.26,1.3 (1.1-1.5),15,8.60E-05
MTBP,0.57,1.8 (1.3-2.3),15,8.60E-05
UBL3,-0.95,0.39 (0.24-0.62),15,8.70E-05
METTL12,-0.82,0.44 (0.29-0.66),15,8.70E-05
MARCKSL1,-0.71,0.49 (0.34-0.7),15,8.70E-05
CD74,0.32,1.4 (1.2-1.6),15,8.70E-05
NGRN,-1.1,0.33 (0.19-0.57),15,8.80E-05
HIST1H4H,0.56,1.8 (1.3-2.3),15,8.80E-05
PDIA6,1.2,3.3 (1.8-6),15,8.90E-05
OTUB1,-1.7,0.18 (0.074-0.42),15,8.90E-05
AMOTL2,-0.52,0.59 (0.46-0.77),15,9.10E-05
EYA3,0.91,2.5 (1.6-3.9),15,9.20E-05
EPS8L1,0.41,1.5 (1.2-1.8),15,9.30E-05
TRAP1,-1.4,0.26 (0.13-0.51),15,9.40E-05
SIGLEC5,0.41,1.5 (1.2-1.8),15,9.40E-05
FHAD1,0.26,1.3 (1.1-1.5),15,9.40E-05
GRIA1,-0.23,0.8 (0.71-0.89),15,9.50E-05
C21orf71,-0.69,0.5 (0.36-0.71),15,9.60E-05
UBQLN2,-1.4,0.24 (0.11-0.49),15,9.70E-05
USP54,-0.6,0.55 (0.41-0.74),15,9.80E-05
HSD17B7P2,-0.59,0.55 (0.41-0.74),15,9.80E-05
KCNK4,-0.33,0.72 (0.6-0.85),15,1.00E-04
TMEM200B,0.44,1.5 (1.2-1.9),15,0.00011
SUGT1P1,-0.61,0.54 (0.4-0.74),15,0.00011
SERINC2,0.34,1.4 (1.2-1.7),15,0.00011
RASD1,-0.51,0.6 (0.46-0.78),15,0.00011
NCRNA00092,0.28,1.3 (1.1-1.5),15,0.00011
LY75,0.5,1.6 (1.3-2.1),15,0.00011
LOC728643,-0.92,0.4 (0.25-0.63),15,0.00011
KIAA1147,-0.86,0.42 (0.28-0.65),15,0.00011
HIST3H2A,-0.44,0.64 (0.51-0.8),15,0.00011
FAM86C,0.79,2.2 (1.5-3.3),15,0.00011
FAM54A,0.42,1.5 (1.2-1.9),15,0.00011
EME1,0.46,1.6 (1.3-2),15,0.00011
CLDN1,0.51,1.7 (1.3-2.2),15,0.00011
CASC5,0.29,1.3 (1.2-1.6),15,0.00011
C6orf174,-0.55,0.58 (0.44-0.76),15,0.00011
BICC1,0.35,1.4 (1.2-1.7),15,0.00011
UPF1,1.8,6.3 (2.5-16),15,0.00012
SCAMP5,-0.61,0.54 (0.4-0.74),15,0.00012
PKMYT1,0.33,1.4 (1.2-1.7),15,0.00012
HMGCLL1,-0.26,0.77 (0.67-0.88),15,0.00012
COPB2,1.6,4.9 (2.2-11),15,0.00012
CHGB,-0.27,0.76 (0.66-0.87),15,0.00012
CARD14,-0.58,0.56 (0.41-0.75),15,0.00012
APOL4,0.24,1.3 (1.1-1.4),15,0.00012
ACO2,-0.82,0.44 (0.29-0.67),15,0.00012
TMEM30A,-1.1,0.34 (0.19-0.59),15,0.00013
MX2,0.28,1.3 (1.1-1.5),15,0.00013
LOC285033,1.2,3.4 (1.8-6.5),15,0.00013
HMMR,0.32,1.4 (1.2-1.6),15,0.00013
EFHD1,-0.42,0.66 (0.53-0.82),15,0.00013
CENPM,0.42,1.5 (1.2-1.9),15,0.00013
CCDC15,0.58,1.8 (1.3-2.4),15,0.00013
C19orf35,0.43,1.5 (1.2-1.9),15,0.00013
STAR,-0.36,0.7 (0.58-0.84),15,0.00014
RPL10,-0.86,0.42 (0.27-0.66),15,0.00014
PTMA,0.9,2.5 (1.5-3.9),14,0.00014
LOC115110,0.57,1.8 (1.3-2.4),14,0.00014
FAM179A,-0.32,0.73 (0.61-0.86),14,0.00014
COX4I1,-1.6,0.21 (0.096-0.47),15,0.00014
CCNJL,0.57,1.8 (1.3-2.4),14,0.00014
ZNF837,0.56,1.7 (1.3-2.3),14,0.00015
SLC11A2,-1.1,0.33 (0.18-0.58),14,0.00015
RPL26,-0.89,0.41 (0.26-0.65),14,0.00015
PBK,0.28,1.3 (1.1-1.5),14,0.00015
MME,-0.29,0.75 (0.64-0.87),14,0.00015
LOC202181,0.43,1.5 (1.2-1.9),14,0.00015
LOC100268168,-0.66,0.52 (0.37-0.73),14,0.00015
EIF3E,-0.79,0.45 (0.3-0.68),14,0.00015
CRYAB,-0.24,0.79 (0.69-0.89),14,0.00015
TIMP3,-0.54,0.59 (0.44-0.77),14,0.00016
TBX15,0.33,1.4 (1.2-1.7),14,0.00016
RSPH4A,0.25,1.3 (1.1-1.5),14,0.00016
RPL17,-0.78,0.46 (0.31-0.69),14,0.00016
ITPK1,-0.66,0.52 (0.36-0.73),14,0.00016
HNF4G,0.53,1.7 (1.3-2.3),14,0.00016
X15.Sep,0.98,2.7 (1.6-4.4),14,0.00017
TBC1D10C,0.41,1.5 (1.2-1.9),14,0.00017
NUDT16P1,0.45,1.6 (1.2-2),14,0.00017
LRRN4CL,0.25,1.3 (1.1-1.5),14,0.00017
ELF4,0.41,1.5 (1.2-1.9),14,0.00017
EEF1A1P9,-0.71,0.49 (0.34-0.71),14,0.00017
C1orf198,-0.74,0.48 (0.33-0.7),14,0.00017
C13orf15,-0.46,0.63 (0.49-0.8),14,0.00017
VWF,0.43,1.5 (1.2-1.9),14,0.00018
RPL24,-1,0.37 (0.22-0.62),14,0.00018
NAPSB,0.21,1.2 (1.1-1.4),14,0.00018
FLJ36777,0.54,1.7 (1.3-2.3),14,0.00018
FAM120A,1.4,4 (1.9-8.1),14,0.00018
CD27,0.49,1.6 (1.3-2.1),14,0.00018
